,LSOA11CD,name,total,geometry,id,lon,lat
0,E01000001,City of London 001A,1749,POINT (-0.0967775334704013 51.51800602754334),0,-0.09677753347040127,51.51800602754334
1,E01000002,City of London 001B,1678,POINT (-0.0925531566196428 51.51821457809565),1,-0.09255315661964283,51.51821457809565
2,E01000003,City of London 001C,1900,POINT (-0.0958127354558068 51.52172266564658),2,-0.09581273545580678,51.52172266564658
3,E01000005,City of London 001E,2181,POINT (-0.0758105673037426 51.513546074513826),3,-0.0758105673037426,51.513546074513826
4,E01000006,Barking and Dagenham 016A,2117,POINT (0.0884406044765748 51.538977315794156),4,0.0884406044765748,51.538977315794156
5,E01000007,Barking and Dagenham 015A,2704,POINT (0.077049592330869 51.540432380045836),5,0.07704959233086897,51.540432380045836
6,E01000008,Barking and Dagenham 015B,1594,POINT (0.0696908565218141 51.54011100352597),6,0.06969085652181412,51.54011100352597
7,E01000009,Barking and Dagenham 016B,1959,POINT (0.0837050266217397 51.540504976417324),7,0.08370502662173972,51.540504976417324
8,E01000010,Barking and Dagenham 015C,3650,POINT (0.078206756584881 51.53693360057339),8,0.07820675658488098,51.53693360057339
9,E01000011,Barking and Dagenham 016C,1753,POINT (0.0806725402093735 51.54308128499831),9,0.08067254020937348,51.54308128499831
10,E01000012,Barking and Dagenham 015D,2372,POINT (0.073958348825846 51.54298261111328),10,0.07395834882584601,51.54298261111328
11,E01000013,Barking and Dagenham 013A,1845,POINT (0.1468231045873166 51.54317827034898),11,0.14682310458731665,51.54317827034898
12,E01000014,Barking and Dagenham 013B,1700,POINT (0.1398045261214336 51.543540342985324),12,0.13980452612143365,51.543540342985324
13,E01000015,Barking and Dagenham 009A,2395,POINT (0.1558385161927339 51.5444234123309),13,0.1558385161927339,51.5444234123309
14,E01000016,Barking and Dagenham 009B,1739,POINT (0.1519777953893756 51.549359314753666),14,0.15197779538937561,51.549359314753666
15,E01000017,Barking and Dagenham 009C,1504,POINT (0.1461816703914709 51.54934665431033),15,0.14618167039147092,51.54934665431033
16,E01000018,Barking and Dagenham 009D,1724,POINT (0.1520696186027861 51.54652867750237),16,0.15206961860278614,51.54652867750237
17,E01000019,Barking and Dagenham 023A,1530,POINT (0.1205312307266553 51.558219589368825),17,0.12053123072665531,51.558219589368825
